timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,gitversion,sysinfo,opensslversion,allocator,javascriptengine,bits,maxbsonobjectsize,ok,visible_databases,sector
3/24/2018 7:56,171.244.1.78,tcp,27017,,mongodb,3.4.10,38731,VN,HA NOI,HANOI,0,0,078f28920cb24de0dd479b5ea6c66c644f6326e9,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
3/24/2018 7:56,117.103.192.253,tcp,27017,hn.member.vtc.vn,mongodb,3.0.6,38248,VN,HA NOI,HANOI,0,0,1ef45a23a4c5e3480ac919b28afcba3c615488f2,Linux ip-10-67-194-123 2.6.32-220.el6.x86_64 #1 SMP Wed Nov 9 08:03:13 EST 2011 x86_64 BOOST_LIB_VERSION=1_49,OpenSSL 1.0.1e-fips 11 Feb 2013,tcmalloc,V8,64,16777216,1,local | Warning,Communications
3/24/2018 7:56,171.244.3.162,tcp,27017,,mongodb,3.6.2,38731,VN,HA NOI,HANOI,0,0,489d177dbd0f0420a8ca04d39fd78d0a2c539420,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
3/24/2018 7:56,42.116.255.38,tcp,27017,,mongodb,3.6.2,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,489d177dbd0f0420a8ca04d39fd78d0a2c539420,deprecated,,tcmalloc,mozjs,64,16777216,1,Warning | admin | config | local,Communications
3/24/2018 7:56,146.196.65.28,tcp,27017,,mongodb,3.4.10,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,078f28920cb24de0dd479b5ea6c66c644f6326e9,deprecated,,tcmalloc,mozjs,64,16777216,1,Warning | local,Information Technology
3/24/2018 7:56,222.255.46.56,tcp,27017,static.vnpt.vn,mongodb,2.4.14,45899,VN,HA NOI,HANOI,0,0,05bebf9ab15511a71bfbded684bb226014c0a553,Linux ip-10-154-253-119 2.6.21.7-2.ec2.v1.2.fc8xen #1 SMP Fri Nov 20 17:48:28 EST 2009 x86_64 BOOST_LIB_VERSION=1_49,,tcmalloc,V8,64,16777216,1,none visible,Communications
3/24/2018 7:56,103.74.121.97,tcp,27017,sv121097.bkns.vn,mongodb,3.0.12,18403,VN,HA NOI,HANOI,0,0,33934938e0e95d534cebbaff656cde916b9c3573,Linux ip-10-93-197-138 2.6.32-220.el6.x86_64 #1 SMP Wed Nov 9 08:03:13 EST 2011 x86_64 BOOST_LIB_VERSION=1_49,OpenSSL 1.0.1e-fips 11 Feb 2013,tcmalloc,V8,64,16777216,1,none visible,Communications
3/24/2018 7:56,171.244.26.186,tcp,27017,,mongodb,3.4.9,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,876ebee8c7dd0e2d992f36a848ff4dc50ee6603e,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
3/24/2018 7:57,118.107.89.173,tcp,27017,,mongodb,3.4.10,38726,VN,HA NOI,HANOI,0,0,078f28920cb24de0dd479b5ea6c66c644f6326e9,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
3/24/2018 7:57,103.28.37.111,tcp,27017,,mongodb,3.4.6,131353,VN,HA NOI,HANOI,0,0,c55eb86ef46ee7aede3b1e2a5d184a7df4bfb5b5,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
