"timestamp","ip","protocol","port","hostname","tag","version","asn","geo","region","city","naics","sic","ok","name","cluster_name","status","build_hash","build_timestamp","build_snapshot","lucene_version","tagline","sector"
"2018-03-24 04:21:13","222.252.27.18","tcp",9200,"static.vnpt-hanoi.com.vn","elasticsearch","6.2.2",45899,"VN","HA NOI","HANOI",0,0,,"HOMEOFFICE","elasticsearch",,"10b1edd",,"false","7.2.1","You Know, for Search","Communications"
"2018-03-24 04:21:14","124.158.10.241","tcp",9200,,"elasticsearch","2.3.5",38733,"VN","HA NOI","HANOI",0,0,,"Riot","elasticsearch",,"90f439ff60a3c0f497f91663701e64ccd01edbb4","2016-07-27T10:36:52Z","false","5.5.0","You Know, for Search","Communications"
"2018-03-24 04:21:14","123.30.210.156","tcp",9200,"static.vnpt.vn","elasticsearch","5.6.0",45899,"VN","HA NOI","HANOI",0,0,,"node-lgkk","cluster-elasticsearch",,"781a835",,"false","6.6.0","You Know, for Search","Communications"
"2018-03-24 04:21:36","14.225.3.184","tcp",9200,,"elasticsearch","5.6.5",45899,"VN","HA NOI","HANOI",0,0,,"e3QnCLH","elasticsearch",,"6a37571",,"false","6.6.1","You Know, for Search","Communications"
"2018-03-24 04:21:36","123.30.180.45","tcp",9200,"neo.com.vn","elasticsearch","2.3.5",45899,"VN","HA NOI","HANOI",0,0,,"Tower","elasticsearch",,"90f439ff60a3c0f497f91663701e64ccd01edbb4","2016-07-27T10:36:52Z","false","5.5.0","You Know, for Search","Communications"
"2018-03-24 04:21:38","125.212.252.50","tcp",9200,,"elasticsearch","2.4.6",38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,,"easyspavn_1","easyspavn",,"5376dca9f70f3abef96a77f4bb22720ace8240fd","2017-07-18T12:17:44Z","false","5.5.4","You Know, for Search","Communications"
"2018-03-24 04:22:03","222.252.16.140","tcp",9200,"static.vnpt-hanoi.com.vn","elasticsearch","5.4.1",45899,"VN","HA NOI","HANOI",0,0,,"PnXNZvo","elasticsearch",,"2cfe0df",,"false","6.5.1","You Know, for Search","Communications"
"2018-03-24 04:22:05","103.90.228.110","tcp",9200,,"elasticsearch","2.4.6",63731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,,"Key","elasticsearch",,"5376dca9f70f3abef96a77f4bb22720ace8240fd","2017-07-18T12:17:44Z","false","5.5.4","You Know, for Search","Communications"
"2018-03-24 04:22:46","61.28.230.105","tcp",9200,,"elasticsearch","6.2.2",38244,"VN","HA NOI","HANOI",0,0,,"SiQFVKU","docker-cluster",,"10b1edd",,"false","7.2.1","You Know, for Search","Communications"
"2018-03-24 04:22:49","112.109.90.76","tcp",9200,,"elasticsearch","5.3.0",55309,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,,"Yo7ZYLE","wifi4u",,"3adb13b",,"false","6.4.1","You Know, for Search","Communications"
"2018-03-24 04:23:09","123.30.249.240","tcp",9200,"static.vnpt.vn","elasticsearch","2.4.3",45899,"VN","HA NOI","HANOI",0,0,,"subi","subi_clound",,"d38a34e7b75af4e17ead16f156feffa432b22be3","2016-12-07T16:28:56Z","false","5.5.2","You Know, for Search","Communications"
"2018-03-24 04:23:09","103.53.169.156","tcp",9200,"dc169.kdata.vn","elasticsearch","6.2.2",7643,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,,"elasticsearch2","kdata",,"10b1edd",,"false","7.2.1","You Know, for Search","Communications"
