"timestamp","src_ip","src_asn","src_geo","src_region","src_port","dst_ip","dst_asn","dst_geo","dst_region","dst_port","protocol","tag","hostname","sysdesc","sysname","http_url","http_agent","http_host","http_referer","http_referer_ip","http_referer_asn","http_referer_geo","http_referer_region","forwarded_by"
"2018-03-24 04:42:18","2001:ee0:5516:35c0:2c14:724a:5542:c32c",7643,"VN",,1167,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /?4b4d5=3084370 HTTP/1.1","KUKU v5.06exp =466993765214","kukutrustnet777.info",,,,,,
"2018-03-24 04:43:45","2001:ee0:4845:3d70:ad75:8c2:caf0:af63",7643,"VN",,52444,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /home.gif?10ff4fd=35645946 HTTP/1.1","Opera/9.50 (Windows NT 6.0; U; en)","kukutrustnet777.info",,,,,,
"2018-03-24 04:59:41","2405:4800:12b4:950e:fdd0:5cb0:6a6:396a",237,"VN",,46214,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 05:03:21","2405:4800:2076:d7d3:b183:b97a:701c:49a0",237,"VN",,46534,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 05:05:29","2001:ee0:45d3:e210:4ca:6723:69dc:8c92",7643,"VN",,59650,"2a02:1668:1034::2",51088,"NL",,80,,,,,,"POST /onao/i/2 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.2.2; Android Build/JDQ39)","io.onaoy.com",,,,,,
"2018-03-24 05:05:31","2001:ee0:45d3:e210:4ca:6723:69dc:8c92",7643,"VN",,52310,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /okla/api/1 HTTP/1.1",,"k.omkol.com",,,,,,
"2018-03-24 05:22:56","2001:ee0:4041:757e:2c38:9774:f6f9:76fc",7643,"VN",,63754,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","iVMS-4500/20150820 CFNetwork/711.3.18 Darwin/14.0.0","init.icloud-analysis.com",,,,,,
"2018-03-24 05:23:45","2405:4800:589e:9596:a5a3:7689:e707:e8e",237,"VN",,57960,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /okla/api/1 HTTP/1.1",,"k.omkol.com",,,,,,
"2018-03-24 05:55:28","2001:ee0:4249:35e0:921d:27ff:fe2b:4495",7643,"VN",,49769,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 06:38:35","2001:ee0:47c4:2ab0:addc:c21e:22eb:a774",7643,"VN",,1263,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /home.gif?2051ed=4236250 HTTP/1.1","Opera/8.81 (Windows NT 6.0; U; en)","kukutrustnet777.info",,,,,,
"2018-03-24 06:44:20","2405:4800:4067:53f:b44d:d48b:912e:e324",237,"VN",,50266,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /home.gif?52c7855=781204221 HTTP/1.0","Mozilla/4.0 (compatible; MSIE 7.0b; Windows NT 6.0)","kukutrustnet777.info",,,,,,
"2018-03-24 07:31:39","2001:ee0:4844:2ef0:fd21:5b6e:716a:b80c",7643,"VN",,1145,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /?30ba9=1995930 HTTP/1.1","KUKU v5.06exp =7204611857","kukutrustnet777.info",,,,,,
"2018-03-24 07:46:43","2001:ee0:4845:3d70:19a5:fcdc:ba53:42e8",7643,"VN",,53766,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /home.gif?1b76031=230359432 HTTP/1.1","Opera/9.50 (Windows NT 6.0; U; en)","kukutrustnet888.info",,,,,,
"2018-03-24 07:49:30","2001:ee0:434a:240:184a:668:2050:f180",7643,"VN",,59885,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 08:10:29","2405:4800:1906:b0a9:e466:2584:b778:880c",237,"VN",,56288,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 08:12:45","2001:ee0:4949:d810:2c3e:e4:8c3c:357b",7643,"VN",,55237,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 08:18:40","2001:ee0:4041:757e:89d1:2271:6c6e:490b",7643,"VN",,63813,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","iVMS-4500/20150820 CFNetwork/711.3.18 Darwin/14.0.0","init.icloud-analysis.com",,,,,,
"2018-03-24 08:22:29","2001:ee0:5657:1bc0:99b6:7f7:254c:8d7e",7643,"VN",,49320,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /home.gif?41563=2408571 HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50728)","kukutrustnet777.info",,,,,,
"2018-03-24 08:26:35","2405:4800:60ff:4d98:e404:e10d:879e:25",237,"VN",,60145,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 08:37:25","2001:ee0:489e:8f00:8cdf:c61e:cbc8:4aad",7643,"VN",,53794,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","WeChat/6.2.5.19 CFNetwork/711.5.6 Darwin/14.0.0","init.icloud-analysis.com",,,,,,
"2018-03-24 09:02:37","2405:4800:12fe:e1aa:79fd:2815:af62:1f07",237,"VN",,53890,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","WeChat/6.2.5.19 CFNetwork/887 Darwin/17.0.0","init.icloud-analysis.com",,,,,,
"2018-03-24 09:04:57","2405:4800:60ff:4d98:848:a998:d13b:fc26",237,"VN",,56570,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /aum/api/1/ HTTP/1.1",,"u.amobisc.com",,,,,,
"2018-03-24 09:08:28","2001:ee0:5532:6c00:d1f1:aa7c:fee0:829f",7643,"VN",,1074,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /?31c82=203906 HTTP/1.1","KUKU v5.06exp =9698435509","kukutrustnet777.info",,,,,,
"2018-03-24 09:16:23","2405:4800:12fc:9000:9086:af1e:4eb3:5f6e",237,"VN",,61210,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","SpringBoard/50 CFNetwork/711.1.16 Darwin/14.0.0","init.icloud-analysis.com",,,,,,
"2018-03-24 10:26:37","2001:ee0:5710:bc30:50c9:801d:41db:3d10",7643,"VN",,1140,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /?3a72e=718218 HTTP/1.1","KUKU v5.06exp =59771810820","kukutrustnet777.info",,,,,,
"2018-03-24 10:57:15","2405:4800:1497:b31:416:7823:b8af:d144",237,"VN",,62593,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /home.gif?5197f76=513342660 HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50728)","kukutrustnet777.info",,,,,,
"2018-03-24 11:20:59","2405:4800:12b4:950e:6c73:7eda:5b3c:3894",237,"VN",,32816,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 11:32:24","2405:4800:12b4:950e:edab:5533:9b81:2b54",237,"VN",,59075,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 11:33:50","2001:ee0:47e1:8320:f489:ce47:8bcd:2177",7643,"VN",,1073,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /home.gif?4b38d=2156763 HTTP/1.1","Opera/8.81 (Windows NT 6.0; U; en)","kukutrustnet777.info",,,,,,
"2018-03-24 11:36:13","2405:4800:568f:569:1029:682d:8961:98a9",237,"VN",,41122,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 11:36:25","2405:4800:12d6:f09c:e141:21f5:e05e:eba",237,"VN",,33110,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /okla/api/2 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.2.2; mobiistar touch LAI 504Q Build/JDQ39)","mk.omkol.com",,,,,,
"2018-03-24 11:38:28","2001:ee0:5711:2360:d58f:8008:927c:2ce2",7643,"VN",,1026,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /?3bbbf=489342 HTTP/1.1","KUKU v5.06exp =59771810820","kukutrustnet777.info",,,,,,
"2018-03-24 11:50:11","2405:4800:5a9f:2e4e:9cf8:3080:c99d:d800",237,"VN",,38839,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /igp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 12:08:51","2405:4800:12b4:950e:14d4:a451:4086:5af1",237,"VN",,58475,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 12:11:05","2001:ee0:4844:2ef0:800d:b147:e740:8c3f",7643,"VN",,1243,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /?3e86d=512218 HTTP/1.1","KUKU v5.06exp =7204611857","kukutrustnet777.info",,,,,,
"2018-03-24 12:12:16","2001:ee0:5138:1070:1968:ee07:31b3:9130",7643,"VN",,41453,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /aum/api/1/ HTTP/1.1",,"u.amobisc.com",,,,,,
"2018-03-24 12:23:09","2405:4800:5a9f:1f34:4170:c4e:ed01:983d",237,"VN",,58702,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","WeChat/6.2.5.19 CFNetwork/808.3 Darwin/16.3.0","init.icloud-analysis.com",,,,,,
"2018-03-24 12:26:33","2001:ee0:56b8:6820:40a1:9222:fe9a:2520",7643,"VN",,49338,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /home.gif?55ffa=1761250 HTTP/1.0","Mozilla/4.0 (compatible; MSIE 7.0b; Windows NT 6.0)","kukutrustnet777.info",,,,,,
"2018-03-24 12:42:43","2001:ee0:52d0:5990:98d2:b274:32cd:1006",7643,"VN",,52899,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
