timestamp,ip,asn,geo,url,type,http_agent,tor,src_port,p0f_genre,p0f_detail,hostname,dst_port,http_host,http_referer,http_referer_ip,http_referer_asn,http_referer_geo,dst_ip,dst_asn,dst_geo,naics,sic,http_referer_naics,http_referer_sic,sector,ssl_cipher,application,version
3/25/2018 0:25,27.72.132.66,7552,VN,/bla30/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),,54306,,,,80,and30.blabladomdom.com,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:25,27.3.128.41,45543,VN,/bla21/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; InfoPath.2),,1034,,,,80,and21.nedregisterbali1.com,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:25,183.81.10.77,18403,VN,/help.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727),,49352,,,,80,dghfhfgjfhjghj6699.net,,,,,104.42.225.122,8075,US,518111,737401,,,Communications,,,
3/25/2018 0:25,123.27.116.180,45899,VN,/statistics/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E),,49202,,,,80,mentalmystery.ru,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:25,27.2.33.245,45543,VN,/bla19/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0),,2343,,,,80,and19.amainwrorldnancy1.com,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:26,171.246.73.191,7552,VN,/bla19/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E),,26940,,,,80,and19.amainwrorldnancy1.com,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:26,113.176.152.17,45899,VN,/bla12/gate.php,andromeda-b66,Mozilla/4.0,,49511,,,,80,and12.thesuchivestfishmarketeat111.com,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:26,14.161.20.30,45899,VN,/bla13/gate.php,andromeda-b66,Mozilla/4.0,,41569,,,,80,and13.dexterwasanicemoviesz1.com,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:26,113.179.191.217,45899,VN,,b68-zeroaccess-2-32bit,,,51649,,,,16464,,,,,,85.17.164.15,60781,NL,0,0,,,Communications,,,
3/25/2018 0:27,14.164.166.0,45899,VN,/help.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; AskTbFXTV5/5.15.29.67612),,1319,,,,80,dghfhfgjfhjghj6699.net,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:27,14.177.162.169,45899,VN,/bla19/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/6.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; Tablet PC 2.0),,50440,,,,80,and19.amainwrorldnancy1.com,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:27,171.231.71.123,7552,VN,/data/update.exe,andromeda-b66,,,17667,,,,80,last-time.ru,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:27,14.161.128.76,45899,VN,/help.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E),,1105,,,,80,dghfhfgjfhjghj6699.net,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
