timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,initiator_spi,responder_spi,next_payload,exchange_type,flags,message_id,next_payload2,domain_of_interpretation,protocol_id,spi_size,notify_message_type
3/24/2018 0:15,125.234.103.177,udp,500,125.234.103.177.hcm.viettel.vn,isakmp-vulnerable,7552,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,cca18b8344d7d455,11,5,0,0,0,0,,0,14
3/24/2018 0:15,115.78.140.114,udp,500,,isakmp-vulnerable,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,1641673a7a50b869,11,5,0,0,0,0,,0,14
3/24/2018 0:15,117.4.238.73,udp,500,localhost,isakmp-vulnerable,7552,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,8ed799761988ba37,11,5,0,0,0,0,,0,14
3/24/2018 0:15,113.160.15.140,udp,500,static.vnpt-hanoi.com.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,1cf2b416077c3566,11,5,0,0,0,0,,0,14
3/24/2018 0:15,203.162.71.112,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,3fba6515a04778af,11,5,0,0,0,0,,0,14
3/24/2018 0:15,115.78.134.199,udp,500,mail.nutifood.com.vn,isakmp-vulnerable,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,17f2c6877e707932,11,5,0,0,0,0,,0,14
3/24/2018 0:16,183.91.26.66,udp,500,static.cmcti.vn,isakmp-vulnerable,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,ad395806c33317d4,11,5,0,0,0,0,,0,14
3/24/2018 0:16,203.162.235.100,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,0dc89289b194606c,11,5,0,0,0,0,,0,14
3/24/2018 0:16,123.18.57.95,udp,500,,isakmp-vulnerable,45899,VN,HAI PHONG,HAI PHONG,0,0,3e35c70729dfedef,406cadc33105ffc3,11,5,0,0,0,0,,0,14
3/24/2018 0:16,182.237.22.240,udp,500,,isakmp-vulnerable,55309,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,9f2ed10a98750998,11,5,0,0,0,0,,0,14
3/24/2018 0:16,116.97.118.34,udp,500,,isakmp-vulnerable,24086,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,0506d23779a36439,11,5,0,0,0,0,,0,14
3/24/2018 0:17,118.69.126.160,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,dbba6ce095a28c05,11,5,0,0,0,0,,0,14
3/24/2018 0:17,113.163.156.23,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,e8b24be62450ab4c,11,5,0,0,0,0,,0,14
3/24/2018 0:17,115.78.129.119,udp,500,,isakmp-vulnerable,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,8043eb60e9d1bc3b,11,5,0,0,0,0,,0,14
