timestamp,ip,protocol,port,hostname,tag,header,asn,geo,region,city,systime,cache_control,location,server,search_target,unique_service_name,host,nts,nt,naics,sic,sector
3/25/2018 7:11,113.190.118.43,udp,3075,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,"Sat, 01 Jan 2000 16:42:53 GMT",max-age=100,http://192.168.1.1:49152/description.xml,"Linux/2.6.21, UPnP/1.0, Portable SDK for UPnP devices/1.3.1",upnp:rootdevice,uuid:28802880-2880-1880-a880-00304fb98398::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,14.177.29.95,udp,3076,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,"Tue, 04 Jan 2000 19:20:30 GMT",max-age=100,http://192.168.1.1:49152/description.xml,"Linux/2.6.21, UPnP/1.0, Portable SDK for UPnP devices/1.3.1",upnp:rootdevice,uuid:28802880-2880-1880-a880-00304fb97a78::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,115.78.134.99,udp,1900,,ssdp,HTTP/1.1 200 OK,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,,max-age = 180,http://192.168.0.12:80/upnp.jsp,Linux/2.6.15 UPNP/1.0 ZD1012/9.3.4.0,upnp:rootdevice,uuid:893409ad-ac5f-4b24-b3db-001392010101::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,117.6.59.14,udp,1900,,ssdp,HTTP/1.1 200 OK,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,,max-age=120,http://192.168.1.1:52869/picsdesc.xml,miniupnpd/1.0 UPnP/1.0,upnp:rootdevice,uuid:12342409-1234-1234-5678-ee1234cc5678::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,14.191.211.209,udp,1900,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,,max-age=1800,http://192.168.1.1:52881/simplecfg.xml,OS 1.0 UPnP/1.0 Realtek/V1.3,upnp:rootdevice,uuid:63041253-1019-2010-0421-cc5076666b2f::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,171.224.115.249,udp,46279,,ssdp,HTTP/1.1 200 OK,7552,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 14:13:16 GMT",max-age=3600,http://192.168.1.161:49152/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-HIK-IP6020F-I-1_0-110705398::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,116.98.201.27,udp,1900,,ssdp,HTTP/1.1 200 OK,24086,VN,HA NOI,HANOI,"Tue, 11 Dec 2007 09:13:18 GMT",max-age=1800,http://192.168.1.53:49152/description.xml,"Linux/2.6.5-it0, UPnP/1.0, Intel SDK for UPnP devices /1.2",upnp:rootdevice,uuid:{59765E24-0C12-4d20-BsdsEE-71578AE02CB9}_e0:61:b2:13:fd:2a::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:12,115.79.147.152,udp,41003,adsl.viettel.vn,ssdp,HTTP/1.1 200 OK,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,,max-age=1800,http://192.168.1.109:1286/,"Linux/i686 UPnP/1,0 DLNADOC/1.50 LGE WebOS TV/Version 0.9",upnp:rootdevice,uuid:2d2309ba-799e-8c13-3090-2ed5ac917449::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:12,115.79.70.145,udp,1900,adsl.viettel.vn,ssdp,HTTP/1.1 200 OK,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,,max-age=1800,http://192.168.1.1:52881/simplecfg.xml,OS 1.0 UPnP/1.0 Realtek/V1.0,upnp:rootdevice,uuid:63041253-1019-2006-1228-000000000000::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:12,116.118.14.174,udp,1900,,ssdp,HTTP/1.1 200 OK,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,,max-age=120,http://192.168.0.1:65535/rootDesc.xml,Linux/2.4.22-1.2115.nptl UPnP/1.0 miniupnpd/1.0,upnp:rootdevice,uuid:add181a4-1dd1-11b2-9541-f42cbc8f275e::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:12,116.99.229.138,udp,1900,,ssdp,HTTP/1.1 200 OK,24086,VN,DA NANG,DA NANG,"Tue, 11 Dec 2007 09:13:18 GMT",max-age=1800,http://192.168.1.10:49152/description.xml,"Linux/2.6.5-it0, UPnP/1.0, Intel SDK for UPnP devices /1.2",upnp:rootdevice,uuid:{59765E24-0C12-4d20-BsdsEE-71578AE02CB9}_e0:61:b2:19:e6:b4::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:12,113.172.224.225,udp,1900,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:ab0ad64d-b9fe-4f91-bb0b-9eebc4b9ac3e,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:ab0ad64d-b9fe-4f91-bb0b-9eebc4b9ac3e::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:12,180.93.7.60,udp,1900,,ssdp,HTTP/1.1 200 OK,7602,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 07:12:07 GMT",max-age=1800,http://192.168.1.1:49152/gatedesc.xml,"Linux/2.6.32.11, UPnP/1.0, Portable SDK for UPnP devices/1.6.6",upnp:rootdevice,uuid:75802409-bccb-40e7-8e6c-fa095ecce13e::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:12,116.109.3.202,udp,46016,,ssdp,HTTP/1.1 200 OK,24086,VN,HO CHI MINH,THANH PHO HO CHI MINH,"Sun, 25 Mar 2018 07:28:23 GMT",max-age=100,http://192.168.1.160:49152/dvrdevicedesc.xml,"Linux/2.6.37, UPnP/1.0, Portable SDK for UPnP devices/1.6.6",upnp:rootdevice,uuid:Upnp-SVS960S-08-3c04bf0737c8::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:12,14.168.253.126,udp,1900,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,BINH THUAN,PHAN THIET,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:c83a353f-9e38-389e-3f35-3ac83a3f380000,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:c83a353f-9e38-389e-3f35-3ac83a3f380000::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:12,113.22.116.94,udp,1900,,ssdp,HTTP/1.1 200 OK,18403,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 07:12:17 GMT",max-age=1800,http://192.168.1.1:49152/gatedesc.xml,"Linux/2.6.32.11, UPnP/1.0, Portable SDK for UPnP devices/1.6.6",upnp:rootdevice,uuid:75802409-bccb-40e7-8e6c-fa095ecce13e::upnp:rootdevice,,,,518111,737401,Communications
3/25/2018 7:12,222.253.181.13,udp,1900,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,"Tue, 11 Dec 2007 09:13:18 GMT",max-age=1800,http://192.168.1.11:49152/description.xml,"Linux/2.6.5-it0, UPnP/1.0, Intel SDK for UPnP devices /1.2",upnp:rootdevice,uuid:{59765E24-0C12-4d20-BsdsEE-71578AE02CB9}_e0:61:b2:20:7b:9d::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:12,171.250.151.55,udp,1900,,ssdp,HTTP/1.1 200 OK,7552,VN,BEN TRE,BEN TRE,,max-age=120,http://192.168.1.1:53182/rootDesc.xml,ASUSTeK UPnP/1.0 MiniUPnPd/1.4,upnp:rootdevice,uuid:05e057af-4992-495e-b91f-a14567091d6c::upnp:rootdevice,,,,0,0,Communications
