timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,mdns_name,mdns_ipv4,mdns_ipv6,services,workstation_name,workstation_ipv4,workstation_ipv6,workstation_info,http_name,http_ipv4,http_ipv6,http_ptr,http_info,http_target,http_port
3/24/2018 7:46,118.70.11.1,udp,5353,,mdns,18403,VN,HA NOI,HANOI,518111,737401,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.; ,,,,,,,,,,,
3/24/2018 7:48,112.72.64.37,udp,5353,,mdns,45539,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,freeradius.local.,112.72.64.37,,freeradius [00:0c:29:ff:b5:d2]._workstation._tcp.local.,,,,,,,
3/24/2018 7:48,123.31.17.68,udp,5353,localhost,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,centos7.local.,123.31.17.68,fe80:0:0:0:250:56ff:fe8c:367f,centos7 [00:50:56:8c:36:7f]._workstation._tcp.local.,,,,,,,
3/24/2018 7:51,42.112.21.134,udp,5353,,mdns,18403,VN,HA NOI,HANOI,518111,737401,,,,_workstation._tcp.local.; ,stream-1.local.,42.112.21.134 42.112.21.141 42.112.21.139 42.112.21.138,fe80:0:0:0:46a8:42ff:fe39:fc3c,stream-1 [5a:a1:d1:59:58:cd]._workstation._tcp.local.,,,,,,,
3/24/2018 7:55,112.197.2.197,udp,5353,,mdns,45543,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; ,linux.local.,112.197.2.197,fe80:0:0:0:250:56ff:fe9a:71,linux [00:50:56:9a:00:71]._workstation._tcp.local.,,,,,,,
3/24/2018 7:57,103.28.39.84,udp,5353,,mdns,131353,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,share3984.local.,103.28.39.84,fe80:0:0:0:21e:67ff:fec2:c459,share3984 [b6:97:77:3a:53:05]._workstation._tcp.local.,,,,,,,
3/24/2018 7:57,115.78.4.131,udp,5353,,mdns,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.; ,,,,,,,,,,,
3/24/2018 7:58,42.112.27.14,udp,5353,,mdns,18403,VN,HA NOI,HANOI,518111,737401,,,,_workstation._tcp.local.; _http._tcp.local.; _smb._tcp.local.; _qmobile._tcp.local.; _qdiscover._tcp.local.; ,QICORPQNAP.local.,42.112.27.14,,QICORPQNAP [24:5e:be:19:d6:c2]._workstation._tcp.local.,,,,,,,
3/24/2018 7:58,103.23.144.7,udp,5353,,mdns,131349,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _libvirt._tcp.local.; ,dns1.local.,103.23.144.7,,dns1 [00:25:90:08:12:ba]._workstation._tcp.local.,,,,,,,
3/24/2018 7:58,14.161.25.160,udp,5353,static.vnpt.vn,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_webdavs._tcp.local.; _smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.; ,,,,,,,,,,,
3/24/2018 7:58,116.109.185.136,udp,5353,,mdns,24086,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; _udisks-ssh._tcp.local.; ,rpi2.local.,192.168.1.92,fe80:0:0:0:ac06:65ad:8d35:1a13,rpi2 [b8:27:eb:4c:9d:b3]._workstation._tcp.local.,,,,,,,
3/24/2018 7:58,123.31.17.122,udp,5353,localhost,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,centos7-3.local.,123.31.17.122,fe80:0:0:0:250:56ff:fe8c:ec3c,centos7-3 [00:50:56:8c:ec:3c]._workstation._tcp.local.,,,,,,,
3/24/2018 7:58,124.158.5.209,udp,5353,,mdns,38732,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,vps.local.,124.158.5.209,,vps [00:0c:29:40:b4:51]._workstation._tcp.local.,,,,,,,
3/24/2018 7:58,210.245.80.55,udp,5353,,mdns,18403,VN,HA NOI,HANOI,518111,737401,,,,_workstation._tcp.local.; ,tin4.local.,210.245.80.55,,tin4 [00:25:90:d5:da:b9]._workstation._tcp.local.,,,,,,,
3/24/2018 7:58,27.0.14.20,udp,5353,mx1420.superdata.vn,mdns,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; ,ns.local.,27.0.14.20,,ns [b8:ac:6f:90:60:a1]._workstation._tcp.local.,,,,,,,
3/24/2018 7:58,171.244.30.94,udp,5353,,mdns,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; _ssh._tcp.local.; _sftp-ssh._tcp.local.; ,NGUYENPHUOC.local.,171.244.30.94,,NGUYENPHUOC [90:70:65:3a:1b:34]._workstation._tcp.local.,,,,,,,
3/24/2018 7:59,123.30.134.131,udp,5353,static.vnpt.vn,mdns,7643,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; ,stream93.local.,123.30.134.131 123.30.134.69 123.30.134.3 123.30.134.32 123.30.134.11 123.30.134.20,fe80:0:0:0:a236:9fff:fe43:6ae8,stream93 [a0:36:9f:43:6a:e8]._workstation._tcp.local.,,,,,,,
3/24/2018 7:59,117.3.171.54,udp,5353,,mdns,7552,VN,KHANH HOA,NHA TRANG,0,0,,,,_teamviewer._tcp.local.; ,,,,,,,,,,,
3/24/2018 7:59,118.69.135.200,udp,5353,,mdns,18403,VN,HA NOI,HANOI,518111,737401,,,,_workstation._tcp.local.; ,openvpn.local.,118.69.135.200,fe80:0:0:0:f816:3eff:fe7c:5c81,openvpn [fa:16:3e:7c:5c:81]._workstation._tcp.local.,,,,,,,
3/24/2018 7:59,103.28.37.188,udp,5353,,mdns,131353,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,XEN188.local.,103.28.37.188,,XEN188 [00:00:00:00:00:00]._workstation._tcp.local.,,,,,,,
3/24/2018 7:59,103.68.81.134,udp,5353,,mdns,45538,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,sv.local.,103.68.81.134 103.68.81.171 103.68.81.170 103.68.81.169 103.68.81.168 103.68.81.167 103.68.81.166 10,,sv [00:50:56:8d:52:12]._workstation._tcp.local.,,,,,,,
3/24/2018 7:59,221.132.18.185,udp,5353,majela.getnge.net,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,dev-vsn3.local.,221.132.18.185,fe80:0:0:0:512e:3bb0:415a:578e,dev-vsn3 [14:58:d0:5b:21:30]._workstation._tcp.local.,,,,,,,
3/24/2018 7:59,118.69.135.191,udp,5353,,mdns,18403,VN,HA NOI,HANOI,518111,737401,,,,_workstation._tcp.local.; ,linux-2.local.,118.69.135.191,fe80:0:0:0:f816:3eff:fecd:cab8,linux-2 [fa:16:3e:cd:ca:b8]._workstation._tcp.local.,,,,,,,
