timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,programs,mountd_port,exports,sector
3/24/2018 3:12,125.212.249.102,udp,111,,portmapper,38731,VN,DONG NAI,BIEN HOA,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:12,45.125.236.240,udp,111,static.ftech.vn,portmapper,45538,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:12,101.99.46.38,udp,111,static.cmcti.vn,portmapper,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 55629/udp; 100024 1 56876/udp;,,,Communications
3/24/2018 3:12,103.75.182.33,udp,111,,portmapper,38733,VN,BAC NINH,BAC NINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 41473/udp; 100024 1 48780/udp;,,,Communications
3/24/2018 3:12,125.212.220.238,udp,111,,portmapper,38731,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 35169/udp; 100024 1 35090/udp;,,,Communications
3/24/2018 3:12,103.82.28.24,udp,111,sv.bkos.vn,portmapper,135906,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:12,45.125.239.132,udp,111,static.ftech.vn,portmapper,18403,VN,HA NOI,HANOI,0,0,100000 2 111/udp; 100000 2 111/udp; 100024 1 897/udp; 100024 1 900/udp;,,,Communications
3/24/2018 3:12,103.20.148.13,udp,111,hosted-by.vonline.vn,portmapper,131367,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100005 1 38833/udp; 100005 1 49931/udp; 100005 2 41318/udp; 100005 2 58004/udp; 100005 3 54322/udp; 100005 3 39848/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp; 100021 1 53487/udp; 100021 3 53487/udp; 100021 4 53487/udp; 100021 1 35569/udp; 100021 3 35569/udp; 100021 4 35569/udp; 100024 1 37461/udp; 100024 1 42748/udp;,38833,/data/thenang/Movies/USA 45.118.149.116/32;/data/thenang/docker 45.118.148.0/22;/data/check_vhd 45.118.148.3/32;/data/kvm/secondary 45.118.148.0/22;/data/kvm/primary 45.118.148.0/22;/data/ghn 103.20.150.0/24 103.20.148.0/24;/data/cloudtest2 45.118.148.0/22;/data/cloudtest 45.118.148.0/22;/data/vonline_db 45.118.148.88;/data/ghiendi 10.0.2.86;/data/name0 172.16.2.251 103.20.148.251;/data/nguyenluubinh 10.0.2.120;/data/tidichi 10.0.2.71 10.0.2.93;/data/pxe/xenserver 103.20.148.10;/data/nfs 10.0.1.0/24 103.20.148.0/22 10.0.2.0/24 172.16.2.0/24 45.118.150.1 45.118.151.250 45.118.151.170 45.118.148.3 45.118.148.2 45.118.148.1;/data/iso 45.118.148.0/22 10.0.1.0/24 172.16.2.0/24 103.20.148.0/22;,Communications
3/24/2018 3:12,125.253.126.157,udp,111,,portmapper,45538,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 33187/udp; 100024 1 43267/udp;,,,Communications
3/24/2018 3:12,125.212.211.135,udp,111,,portmapper,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 44352/udp; 100024 1 55393/udp;,,,Communications
3/24/2018 3:12,125.212.192.202,udp,111,,portmapper,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 43072/udp; 100024 1 41119/udp;,,,Communications
3/24/2018 3:12,115.165.163.19,udp,111,mail.dunkindonutsvn.vn,portmapper,38733,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 49139/udp; 100024 1 60438/udp;,,,Communications
3/24/2018 3:12,103.68.83.254,udp,111,,portmapper,45538,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:12,123.29.69.88,udp,111,static.vnpt.vn,portmapper,45899,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 57169/udp; 100024 1 39976/udp;,,,Communications
3/24/2018 3:12,45.124.87.200,udp,111,sv-87200.bkns.vn,portmapper,135905,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:13,223.27.109.248,udp,111,mx248.thoinaymail.net,portmapper,38733,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 36355/udp; 100024 1 52439/udp;,,,Communications
3/24/2018 3:13,103.255.236.61,udp,111,no-ptr.123host.vn,portmapper,7643,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 2 111/udp; 100000 2 111/udp; 100024 1 683/udp; 100024 1 686/udp;,,,Communications
3/24/2018 3:13,118.107.115.2,udp,111,,portmapper,38726,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 58494/udp; 100024 1 57262/udp;,,,Communications
3/24/2018 3:13,27.118.26.83,udp,111,,portmapper,55313,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 58211/udp; 100024 1 42169/udp;,,,Communications
3/24/2018 3:13,210.211.116.20,udp,111,,portmapper,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 2 111/udp; 100000 2 111/udp; 100024 1 877/udp; 100024 1 880/udp; 100011 1 814/udp; 100011 2 814/udp; 100011 1 817/udp; 100011 2 817/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100021 1 21067/udp; 100021 3 21067/udp; 100021 4 21067/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100021 1 12175/udp; 100021 3 12175/udp; 100021 4 12175/udp; 100005 1 854/udp; 100005 1 857/udp; 100005 2 854/udp; 100005 2 857/udp; 100005 3 854/udp; 100005 3 857/udp;,854,/home/gianhanh/public_html/ROOT/tmpabcxzy 222.255.237.91 123.30.140.165 113.61.111.196;,Communications
3/24/2018 3:13,223.27.108.129,udp,111,vs129.azhostvietsuntranvel.com,portmapper,38733,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 43544/udp; 100024 1 50366/udp;,,,Communications
3/24/2018 3:13,103.90.226.167,udp,111,,portmapper,135905,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:13,203.162.2.198,udp,111,static.vnpt.vn,portmapper,7643,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 54695/udp; 100024 1 43366/udp;,,,Communications
3/24/2018 3:13,117.103.235.74,udp,111,,portmapper,38248,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 35307/udp; 100024 1 59177/udp;,,,Communications
3/24/2018 3:13,203.162.238.13,udp,111,static.vnpt.vn,portmapper,45899,VN,HA NOI,HANOI,0,0,100000 2 111/udp; 100000 3 111/udp; 100000 4 111/udp; 100000 2 111/udp; 100000 3 111/udp; 100000 4 111/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100005 1 2049/udp; 100005 2 2049/udp; 100005 3 2049/udp; 100005 1 2049/udp; 100005 2 2049/udp; 100005 3 2049/udp; 100021 1 2049/udp; 100021 2 2049/udp; 100021 3 2049/udp; 100021 4 2049/udp; 100021 1 2049/udp; 100021 2 2049/udp; 100021 3 2049/udp; 100021 4 2049/udp; 100024 1 2049/udp; 100024 1 2049/udp;,,,Communications
3/24/2018 3:13,125.212.242.81,udp,111,,portmapper,38731,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:13,103.15.50.32,udp,111,,portmapper,45538,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:13,223.27.109.93,udp,111,vs93.azvnvietsuntravel.com,portmapper,38733,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 43544/udp; 100024 1 50366/udp;,,,Communications
3/24/2018 3:13,103.92.34.24,udp,111,capt-se65.vce.vn,portmapper,135905,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:13,112.78.2.133,udp,111,,portmapper,45538,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 44135/udp; 100024 1 55925/udp;,,,Communications
3/24/2018 3:13,45.124.85.248,udp,111,sv-85248.bkns.vn,portmapper,135905,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:13,103.68.83.183,udp,111,mail.hiengiang.ml,portmapper,45538,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:13,103.74.121.178,udp,111,sv121178.bkns.vn,portmapper,18403,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:13,103.74.120.60,udp,111,sv120060.bkns.vn,portmapper,18403,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:13,203.113.174.187,udp,111,,portmapper,7552,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 35385/udp; 100024 1 46076/udp;,,,Communications
3/24/2018 3:13,210.211.99.219,udp,111,,portmapper,38731,VN,DA NANG,DA NANG,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 41997/udp; 100024 1 48183/udp;,,,Communications
3/24/2018 3:13,223.27.108.132,udp,111,vs132.azhostvietsuntranvel.com,portmapper,38733,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 43544/udp; 100024 1 50366/udp;,,,Communications
3/24/2018 3:13,171.244.34.98,udp,111,mx.eragalaxy.com.vn,portmapper,38731,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 40323/udp; 100024 1 34994/udp;,,,Communications
3/24/2018 3:14,103.195.239.188,udp,111,,portmapper,38733,VN,QUANG NGAI,BINH THANH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 57348/udp; 100024 1 43820/udp;,,,Communications
3/24/2018 3:14,163.44.207.235,udp,111,kusamailer.tenten.cloud,portmapper,131392,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
