timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,pid,pointer_size,uptime,time,curr_connections,total_connections,sector
3/24/2018 7:20,123.31.26.53,tcp,11211,localhost,memcached,1.2.1,45899,VN,HA NOI,HANOI,0,0,2140,32,10102777,20:26.0,5,4507198,Communications
3/24/2018 7:20,103.90.228.115,tcp,11211,,memcached,1.4.15,63731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1284,64,658392,20:33.0,10,3052,Communications
3/24/2018 7:20,115.146.121.230,tcp,11211,,memcached,1.4.4,38732,VN,HA NOI,HANOI,0,0,3113,64,2393907,20:28.0,14,14207416,Communications
3/24/2018 7:20,123.30.169.47,tcp,11211,static.vnpt.vn,memcached,1.4.37,45899,VN,HA NOI,HANOI,0,0,11895,64,6294677,00:00.0,14,168810,Communications
3/24/2018 7:20,45.252.250.238,tcp,11211,,memcached,1.4.4,63760,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1113,64,6538567,07:55.0,10,1640,Communications
3/24/2018 7:20,125.212.228.37,tcp,11211,,memcached,1.4.4,7552,VN,HA NOI,HANOI,0,0,11674,64,6240438,19:17.0,10,4606156,Communications
3/24/2018 7:20,45.122.221.153,tcp,11211,,memcached,1.4.15,56150,VN,HA NOI,HANOI,0,0,281,64,4654010,20:46.0,10,267,Communications
3/24/2018 7:20,103.205.96.232,tcp,11211,,memcached,1.5.6,63731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,2113,64,922994,00:00.0,2,24404,Communications
3/24/2018 7:20,123.31.30.144,tcp,11211,localhost,memcached,1.4.4,45899,VN,HA NOI,HANOI,0,0,16788,64,5110165,37:05.0,10,3755,Communications
3/24/2018 7:20,103.75.177.104,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14772,00:00.0,216,32969,Communications
3/24/2018 7:20,45.252.250.129,tcp,11211,,memcached,1.4.4,63760,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1025,64,864913,07:56.0,2,22,Communications
3/24/2018 7:20,210.245.17.37,tcp,11211,,memcached,1.4.17,18403,VN,DONG NAI,BIEN HOA,518111,737401,28374,64,973415,19:33.0,14,236188,Communications
3/24/2018 7:20,103.75.177.125,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14772,00:00.0,217,32971,Communications
3/24/2018 7:20,123.31.40.42,tcp,11211,mail.cpc.vn,memcached,1.4.17,45899,VN,HA NOI,HANOI,0,0,20990,64,1205922,20:44.0,22,28276,Communications
3/24/2018 7:20,103.15.50.9,tcp,11211,,memcached,1.4.15,45538,VN,HA NOI,HANOI,0,0,130,64,259114,20:22.0,16,576,Communications
3/24/2018 7:20,45.125.236.103,tcp,11211,static.ftech.vn,memcached,1.4.4,45538,VN,HA NOI,HANOI,0,0,4472,64,10733187,20:32.0,10,1872151,Communications
3/24/2018 7:20,103.75.177.18,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14775,00:00.0,235,32990,Communications
3/24/2018 7:20,42.112.35.30,tcp,11211,,memcached,1.4.4,18403,VN,HA NOI,HANOI,518111,737401,1978,64,12236,20:36.0,34,150,Communications
3/24/2018 7:20,210.245.17.35,tcp,11211,mx.binmail.com.vn,memcached,1.4.17,18403,VN,DONG NAI,BIEN HOA,518111,737401,28374,64,973420,19:38.0,14,236189,Communications
3/24/2018 7:20,103.75.177.122,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14777,00:00.0,244,33002,Communications
3/24/2018 7:20,103.28.37.211,tcp,11211,,memcached,1.4.4,131353,VN,HA NOI,HANOI,0,0,672,64,837287,20:11.0,10,5960,Communications
3/24/2018 7:20,103.56.158.111,tcp,11211,,memcached,1.4.4,45899,VN,HA NOI,HANOI,0,0,1427,64,16429796,30:34.0,16,12191,Communications
3/24/2018 7:20,45.125.236.166,tcp,11211,static.ftech.vn,memcached,1.4.4,45538,VN,HA NOI,HANOI,0,0,4472,64,10733190,20:35.0,10,1872152,Communications
3/24/2018 7:20,113.164.233.202,tcp,11211,static.vnpt.vn,memcached,1.4.13,45899,VN,HA NOI,HANOI,0,0,1204,64,903233,20:42.0,11,37,Communications
3/24/2018 7:20,124.158.4.82,tcp,11211,,memcached,1.4.36,38732,VN,HA NOI,HANOI,0,0,30914,64,29459324,00:00.0,5,28592,Communications
3/24/2018 7:20,171.244.34.199,tcp,11211,,memcached,1.4.4,38731,VN,HA NOI,HANOI,0,0,469,64,701237,20:37.0,10,805745,Communications
3/24/2018 7:20,103.10.44.239,tcp,11211,,memcached,1.4.4-14-g9c660c0,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1160,64,3060257576,36:36.0,10,3230,Communications
3/24/2018 7:21,45.119.83.133,tcp,11211,,memcached,1.4.37,131386,VN,HA NOI,HANOI,0,0,14260,64,1643280,00:00.0,14,21908,Communications
3/24/2018 7:21,103.75.177.59,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14809,00:00.0,172,33129,Communications
3/24/2018 7:21,124.158.4.218,tcp,11211,,memcached,1.4.4,38732,VN,HA NOI,HANOI,0,0,1320,64,1315780,14:01.0,10,6132,Communications
3/24/2018 7:21,203.205.37.206,tcp,11211,static.cmcti.vn,memcached,1.4.4,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1761,64,16515675,21:10.0,10,693,Communications
3/24/2018 7:21,163.44.206.242,tcp,11211,v163-44-206-242.a005.g.han1.static.cnode.io,memcached,1.4.15,131392,VN,HA NOI,HANOI,0,0,820,64,278687,21:09.0,11,11272,Communications
3/24/2018 7:21,103.221.220.127,tcp,11211,,memcached,1.4.4,18403,VN,HA NOI,HANOI,0,0,662,64,8214193,21:10.0,10,6351,Communications
3/24/2018 7:21,125.212.203.87,tcp,11211,,memcached,1.4.4-14-g9c660c0,7552,VN,HA NOI,HANOI,0,0,1216,64,3070966235,30:59.0,10,6454,Communications
3/24/2018 7:21,45.119.82.212,tcp,11211,,memcached,1.4.4,131386,VN,HA NOI,HANOI,0,0,7086,64,7601693,16:44.0,11,397,Communications
3/24/2018 7:21,125.253.127.247,tcp,11211,,memcached,1.4.36,45538,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1288,64,979894,00:00.0,10,6121,Communications
3/24/2018 7:21,42.112.20.64,tcp,11211,,memcached,1.4.4,18403,VN,HA NOI,HANOI,518111,737401,5534,64,2414322,13:52.0,10,190,Communications
3/24/2018 7:22,45.119.212.12,tcp,11211,,memcached,1.4.17,131423,VN,HA NOI,HANOI,0,0,10471,64,171423,21:38.0,14,16,Communications
3/24/2018 7:22,210.211.98.75,tcp,11211,,memcached,1.4.4-14-g9c660c0,38731,VN,DA NANG,DA NANG,0,0,1572,64,3059222552,36:55.0,2109,121425,Communications
3/24/2018 7:22,103.27.238.225,tcp,11211,,memcached,1.4.15,131386,VN,QUANG NGAI,BINH THANH,0,0,1005,64,8527944,18:14.0,10,12613,Communications
3/24/2018 7:22,123.31.12.128,tcp,11211,localhost,memcached,1.4.15,135905,VN,HA NOI,HANOI,0,0,3347,64,19174630,22:04.0,10,22408,Communications
3/24/2018 7:22,45.125.236.147,tcp,11211,static.ftech.vn,memcached,1.4.4,45538,VN,HA NOI,HANOI,0,0,4472,64,10733278,22:03.0,10,1872175,Communications
3/24/2018 7:22,42.112.19.180,tcp,11211,,memcached,1.4.15,18403,VN,HA NOI,HANOI,518111,737401,896,64,30848871,43:01.0,10,653,Communications
3/24/2018 7:22,103.200.22.182,tcp,11211,,memcached,1.4.4,18403,VN,HA NOI,HANOI,0,0,1236,64,16990429,22:05.0,10,397,Communications
3/24/2018 7:22,113.61.111.253,tcp,11211,mail.apparel-vn.com,memcached,1.4.17,38738,VN,HA NOI,HANOI,0,0,7382,64,310448,24:21.0,10,14,Communications
3/24/2018 7:22,103.28.37.35,tcp,11211,,memcached,1.2.6,131353,VN,HA NOI,HANOI,0,0,1620,32,10624431,26:01.0,153,951,Communications
3/24/2018 7:22,103.75.177.50,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14866,00:00.0,124,33400,Communications
3/24/2018 7:22,124.158.9.76,tcp,11211,mail.email-vn.net,memcached,1.4.17,38733,VN,HA NOI,HANOI,0,0,19403,64,1016448,22:06.0,14,21719,Communications
3/24/2018 7:22,115.146.121.218,tcp,11211,,memcached,1.4.4,38732,VN,HA NOI,HANOI,0,0,3113,64,2394006,22:07.0,17,14208105,Communications
3/24/2018 7:22,103.75.177.41,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14868,00:00.0,131,33408,Communications
3/24/2018 7:22,103.54.250.243,tcp,11211,,memcached,1.4.4,7643,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,747,64,1985403,22:08.0,10,130,Communications
3/24/2018 7:22,103.92.25.142,tcp,11211,,memcached,1.4.4,135915,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1503,64,77812,58:14.0,10,16,Communications
3/24/2018 7:22,171.244.3.179,tcp,11211,,memcached,1.5.6,38731,VN,HA NOI,HANOI,0,0,2057,64,1718292,00:00.0,2,80,Communications
3/24/2018 7:22,112.197.2.140,tcp,11211,,memcached,1.4.24,45543,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,4214,64,41483831,22:10.0,11,6853,Communications
3/24/2018 7:22,103.9.158.124,tcp,11211,,memcached,1.4.15,63730,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,9156,64,11373,22:14.0,11,8733,Communications
3/24/2018 7:22,45.252.248.233,tcp,11211,,memcached,1.4.4,63760,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1170,64,26255684,25:35.0,10,1230,Communications
3/24/2018 7:22,222.255.167.89,tcp,11211,static.vnpt.vn,memcached,1.4.4,45899,VN,DA NANG,DA NANG,0,0,2851,64,7278006,23:29.0,10,278,Communications
3/24/2018 7:22,103.9.76.217,tcp,11211,,memcached,1.4.4,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,30519,64,11990,17:59.0,10,883,Communications
