timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,opcode,errorcode,error,errormessage,size
3/24/2018 0:11,113.190.234.44,udp,39901,static.vnpt-hanoi.com.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,14.188.200.200,udp,58232,static.vnpt.vn,tftp,45899,VN,PHU THO,VIET TRI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,123.22.6.131,udp,56967,,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,180.93.132.44,udp,69,,tftp,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:11,113.186.10.34,udp,3123,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,4,Illegal TFTP operation,Invalid file,17
3/24/2018 0:11,14.172.197.142,udp,69,static.vnpt.vn,tftp,45899,VN,VINH LONG,TAN BINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:11,113.170.101.87,udp,51107,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,14.186.212.209,udp,45927,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,116.118.80.27,udp,69,,tftp,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:11,183.91.26.222,udp,32771,static.cmcti.vn,tftp,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,1,File not found,File not found,19
3/24/2018 0:11,14.230.130.90,udp,55339,static.vnpt.vn,tftp,45899,VN,CAN THO,CAN THO,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,113.188.166.115,udp,69,static.vnpt.vn,tftp,45899,VN,DONG THAP,CAO LANH,0,0,5,2,Access violation,Access violation.,22
