timestamp,ip,port,hostname,asn,geo,region,city,naics,sic,smb_implant,arch,key
3/24/2018 10:54,103.200.20.181,445,,45538,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,115.79.7.101,445,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,113.160.13.16,445,static.vnpt-hanoi.com.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,113.161.106.188,445,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,103.200.20.162,445,,45538,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,14.241.201.18,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,113.160.217.22,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,14.169.201.119,445,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,27.2.161.246,445,,45543,VN,DA NANG,DA NANG,0,0,N,,
3/24/2018 10:54,14.161.10.171,445,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,183.91.14.134,445,static.cmcti.vn,45903,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,171.229.212.1,445,,7552,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,117.5.173.162,445,localhost,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,113.169.135.53,445,,45899,VN,BINH THUAN,PHAN THIET,0,0,N,,
3/24/2018 10:54,14.164.190.43,445,static.vnpt.vn,45899,VN,BEN TRE,BEN TRE,0,0,N,,
3/24/2018 10:54,14.177.246.31,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,125.212.202.97,445,,7552,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,103.9.159.196,445,,63730,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,116.102.135.35,445,,24086,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,171.244.34.241,445,,38731,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,222.255.21.165,445,,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,112.78.11.20,445,,45538,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,203.162.235.32,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,115.74.210.124,445,,7552,VN,CAN THO,CAN THO,0,0,N,,
3/24/2018 10:55,14.231.237.31,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,113.163.25.114,445,static.vnpt.vn,45899,VN,HA TINH,HA TINH,0,0,N,,
3/24/2018 10:55,115.78.163.119,445,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:55,210.211.126.168,445,,38731,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,220.231.107.9,445,,7552,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,14.161.42.231,445,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:55,113.190.241.230,445,static.vnpt-hanoi.com.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,113.160.247.2,445,static.vnpt.vn,45899,VN,DA NANG,DA NANG,0,0,N,,
3/24/2018 10:55,125.212.241.200,445,basicresearch.press,38731,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,113.161.71.136,445,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:55,220.231.106.109,445,,7552,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,103.200.20.146,445,,45538,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,183.91.16.102,445,,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
